time,clone_id,parent_id,mutation_size,vaf,S,R1,R2,R3
51,1,0,23,0.46,0.57181746,0.057501793,0.20600729,0.16467352
51,2,1,15,0.3,0.5749218,0.0544716,0.17902873,0.19157791
51,3,0,2,0.04,0.0799772,0.1811356,0.55218035,0.18670683
52,0,-1,27,0.5,0.58591443,0.057797603,0.19460708,0.1616809
52,1,0,24,0.4444444444444444,0.61222243,0.052134614,0.18203115,0.1536118
52,2,1,16,0.2962962962962963,0.6290822,0.047268584,0.14875105,0.17489813
52,3,0,4,0.07407407407407407,0.47576004,0.09090544,0.33495817,0.098376326
53,0,-1,29,0.5,0.5641147,0.051044185,0.16922177,0.2156194
53,1,0,26,0.4482758620689655,0.5823564,0.044986304,0.1578596,0.21479766
53,2,1,18,0.3103448275862069,0.57854366,0.03805912,0.12088793,0.26250926
53,3,0,6,0.10344827586206896,0.33232448,0.060749803,0.20969076,0.397235
54,0,-1,33,0.5,0.54856277,0.06255897,0.14971723,0.23916109
54,1,0,29,0.4393939393939394,0.58002895,0.037471905,0.1337493,0.24874982
54,2,1,20,0.30303030303030304,0.5500515,0.0307396,0.10009589,0.31911308
54,3,0,9,0.13636363636363635,0.2575938,0.114574604,0.16869639,0.45913526
54,4,1,4,0.06060606060606061,0.3166108,0.16643766,0.07752713,0.43942446
55,0,-1,34,0.5,0.591179,0.05847069,0.13964283,0.21070755
55,1,0,30,0.4411764705882353,0.6259831,0.033737738,0.12382273,0.21645632
55,2,1,20,0.29411764705882354,0.5941655,0.02760369,0.09401971,0.28421116
55,3,0,9,0.1323529411764706,0.33241937,0.11431529,0.16565378,0.38761157
55,4,1,5,0.07352941176470588,0.58043396,0.13249151,0.06273241,0.22434215
56,0,-1,38,0.5,0.5677308,0.050832376,0.177355,0.20408183
56,1,0,34,0.4473684210526316,0.5948729,0.028168356,0.16836555,0.20859316
56,2,1,24,0.3157894736842105,0.5522936,0.021192754,0.16373406,0.2627795
56,3,0,12,0.15789473684210525,0.34831718,0.08621228,0.22351359,0.34195697
56,4,1,9,0.11842105263157894,0.45341647,0.0741314,0.27365002,0.19880213
57,0,-1,40,0.5,0.5817425,0.046961833,0.18306533,0.18823028
57,1,0,36,0.45,0.6083472,0.025184028,0.17554599,0.19092286
57,2,1,26,0.325,0.5714591,0.017999323,0.1754131,0.23512849
57,3,0,12,0.15,0.37086478,0.0859468,0.21644993,0.32673845
57,4,1,11,0.1375,0.50230634,0.060321357,0.289414,0.1479583
58,0,-1,41,0.5,0.60928,0.044735603,0.1766404,0.16934398
58,1,0,37,0.45121951219512196,0.63767236,0.023364238,0.16886055,0.1701028
