time,clone_id,parent_id,mutation_size,vaf,S,R1,R2,R3,T1,T2,T3
36,11,2,1,0.041666666666666664,0.007757476,0.050848946,1.057536e-06,0.9413926,1.0,0.0,0.0
37,0,-1,13,0.5,0.48046172,0.23342234,0.13163808,0.1544779,1.0,0.0,0.0
37,1,0,6,0.23076923076923078,0.7711083,0.10963774,0.063960604,0.055293333,1.0,0.0,0.0
37,2,0,3,0.11538461538461539,0.3381355,0.30925503,0.02074551,0.3318639,1.0,0.0,0.0
37,3,1,4,0.15384615384615385,0.9986523,1.8732802e-05,0.00040632128,0.0009226763,1.0,0.0,0.0
37,4,2,1,0.038461538461538464,0.27564818,0.6743876,0.02740489,0.02255938,1.0,0.0,0.0
37,5,3,1,0.038461538461538464,0.9992938,5.0166142e-09,3.2002916e-07,0.0007058454,1.0,0.0,0.0
37,6,3,2,0.07692307692307693,1.0,2.2220981e-13,5.356547e-10,1.8298528e-10,1.0,0.0,0.0
37,7,0,2,0.07692307692307693,0.05975318,0.36481014,0.4150057,0.16043098,1.0,0.0,0.0
37,8,0,1,0.038461538461538464,0.23218347,0.36626732,0.23218,0.16936928,1.0,0.0,0.0
37,9,7,1,0.038461538461538464,0.015882125,2.0286998e-06,0.7404654,0.2436505,1.0,0.0,0.0
37,10,1,1,0.038461538461538464,0.014944526,0.34284022,0.34733954,0.29487562,1.0,0.0,0.0
37,11,2,1,0.038461538461538464,0.012326923,0.09780373,1.920968e-06,0.8898675,1.0,0.0,0.0
37,12,6,1,0.038461538461538464,1.0,2.0990016e-13,9.525439e-10,3.6545936e-10,1.0,0.0,0.0
38,0,-1,15,0.5,0.5479758,0.2272542,0.10573449,0.11903548,1.0,0.0,0.0
38,1,0,7,0.23333333333333334,0.80003554,0.11578131,0.041595805,0.042587288,1.0,0.0,0.0
38,2,0,4,0.13333333333333333,0.5062171,0.2748144,0.01410262,0.2048659,1.0,0.0,0.0
38,3,1,5,0.16666666666666666,0.99240696,0.004433931,0.0017100645,0.0014490798,1.0,0.0,0.0
38,4,2,2,0.06666666666666667,0.62996614,0.3472928,0.012128649,0.010612395,1.0,0.0,0.0
